Tanggal,Bahan Bakar Disel NY
Jan-2007,1.63
Feb-2007,1.759
Mar-2007,1.891
Apr-2007,2.053
May-2007,2.044
Jun-2007,2.12
Jul-2007,2.146
Aug-2007,2.106
Sep-2007,2.32
Oct-2007,2.417
Nov-2007,2.7
Dec-2007,2.631
Jan-2008,2.59
Feb-2008,2.774
Mar-2008,3.253
Apr-2008,3.443
May-2008,3.821
Jun-2008,3.887
Jul-2008,3.845
Aug-2008,3.273
Sep-2008,3.041
Oct-2008,2.397
Nov-2008,1.923
Dec-2008,1.436
Jan-2009,1.496
Feb-2009,1.306
Mar-2009,1.338
Apr-2009,1.449
May-2009,1.52
Jun-2009,1.82
Jul-2009,1.722
Aug-2009,1.927
Sep-2009,1.795
Oct-2009,1.982
Nov-2009,1.998
Dec-2009,1.98
Jan-2010,2.066
Feb-2010,2.035
Mar-2010,2.159
Apr-2010,2.284
May-2010,2.136
Jun-2010,2.108
Jul-2010,2.066
Aug-2010,2.122
Sep-2010,2.175
Oct-2010,2.301
Nov-2010,2.377
Dec-2010,2.5
Jan-2011,2.642
Feb-2011,2.84
Mar-2011,3.131
Apr-2011,3.271
May-2011,3.035
Jun-2011,3.054
Jul-2011,3.17
Aug-2011,3.01
Sep-2011,2.98
Oct-2011,3.008
Nov-2011,3.095
Dec-2011,2.937
Jan-2012,3.08
Feb-2012,3.223
Mar-2012,3.302
Apr-2012,3.242
May-2012,2.987
Jun-2012,2.71
Jul-2012,2.921
Aug-2012,3.179
Sep-2012,3.229
Oct-2012,3.236
Nov-2012,3.18
Dec-2012,3.07
Jan-2013,3.103
Feb-2013,3.237
Mar-2013,3.037
Apr-2013,2.9
May-2013,2.888
Jun-2013,2.891
Jul-2013,3.018
Aug-2013,3.068
Sep-2013,3.048
Oct-2013,2.995
Nov-2013,2.938
Dec-2013,3.045
Jan-2014,3.117
Feb-2014,3.227
Mar-2014,2.993
Apr-2014,2.958
May-2014,2.936
Jun-2014,2.962
Jul-2014,2.879
Aug-2014,2.85
Sep-2014,2.74
Oct-2014,2.532
Nov-2014,2.43
Dec-2014,2.034
Jan-2015,1.678
Feb-2015,1.991
Mar-2015,1.856
Apr-2015,1.843
May-2015,1.965
Jun-2015,1.888
Jul-2015,1.684
Aug-2015,1.516
Sep-2015,1.516
Oct-2015,1.472
Nov-2015,1.413
Dec-2015,1.138
Jan-2016,0.979
Feb-2016,1.036
Mar-2016,1.19
Apr-2016,1.247
May-2016,1.423
Jun-2016,1.491
Jul-2016,1.37
Aug-2016,1.399
Sep-2016,1.418
Oct-2016,1.559
Nov-2016,1.463
Dec-2016,1.642
Jan-2017,1.623
Feb-2017,1.624
Mar-2017,1.528
Apr-2017,1.586
May-2017,1.514
Jun-2017,1.417
Jul-2017,1.521
Aug-2017,1.631
